Timestamp,Filetype,City,District,KPIType,KPI Name,Result
25.10.2020 12:8,requests,Wuppertal,Beyenburg,KPI 1,Average price,346.42857142857144
25.10.2020 12:8,requests,Wuppertal,Beyenburg,KPI 2,Average size,13.5
25.10.2020 12:8,requests,Wuppertal,Beyenburg,KPI 3,Average €/qm,32.083333333333336
25.10.2020 12:8,requests,Wuppertal,Beyenburg,KPI 4,Count furnished,4
25.10.2020 12:8,requests,Wuppertal,Beyenburg,KPI 5,Count unfurnished,3
25.10.2020 12:8,requests,Wuppertal,Cronenberg,KPI 1,Average price,340.625
25.10.2020 12:8,requests,Wuppertal,Cronenberg,KPI 2,Average size,59.0
25.10.2020 12:8,requests,Wuppertal,Cronenberg,KPI 3,Average €/qm,22.055555555555557
25.10.2020 12:8,requests,Wuppertal,Cronenberg,KPI 4,Count furnished,5
25.10.2020 12:8,requests,Wuppertal,Cronenberg,KPI 5,Count unfurnished,3
25.10.2020 12:8,requests,Wuppertal,Elberfeld,KPI 1,Average price,359.54545454545456
25.10.2020 12:8,requests,Wuppertal,Elberfeld,KPI 2,Average size,41.6
25.10.2020 12:8,requests,Wuppertal,Elberfeld,KPI 3,Average €/qm,24.934188034188033
25.10.2020 12:8,requests,Wuppertal,Elberfeld,KPI 4,Count furnished,5
25.10.2020 12:8,requests,Wuppertal,Elberfeld,KPI 5,Count unfurnished,6
25.10.2020 12:8,requests,Wuppertal,Langerfeld,KPI 1,Average price,346.42857142857144
25.10.2020 12:8,requests,Wuppertal,Langerfeld,KPI 2,Average size,13.5
25.10.2020 12:8,requests,Wuppertal,Langerfeld,KPI 3,Average €/qm,32.083333333333336
25.10.2020 12:8,requests,Wuppertal,Langerfeld,KPI 4,Count furnished,4
25.10.2020 12:8,requests,Wuppertal,Langerfeld,KPI 5,Count unfurnished,3
25.10.2020 12:8,requests,Wuppertal,Remscheid,KPI 1,Average price,346.42857142857144
25.10.2020 12:8,requests,Wuppertal,Remscheid,KPI 2,Average size,13.5
25.10.2020 12:8,requests,Wuppertal,Remscheid,KPI 3,Average €/qm,32.083333333333336
25.10.2020 12:8,requests,Wuppertal,Remscheid,KPI 4,Count furnished,4
25.10.2020 12:8,requests,Wuppertal,Remscheid,KPI 5,Count unfurnished,3
25.10.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 1,Average price,346.42857142857144
25.10.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 2,Average size,13.5
25.10.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 3,Average €/qm,32.083333333333336
25.10.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 4,Count furnished,4
25.10.2020 12:8,requests,Wuppertal,Ronsdorf,KPI 5,Count unfurnished,3
25.10.2020 12:8,requests,Wuppertal,Schwelm,KPI 1,Average price,346.42857142857144
25.10.2020 12:8,requests,Wuppertal,Schwelm,KPI 2,Average size,13.5
25.10.2020 12:8,requests,Wuppertal,Schwelm,KPI 3,Average €/qm,32.083333333333336
25.10.2020 12:8,requests,Wuppertal,Schwelm,KPI 4,Count furnished,4
25.10.2020 12:8,requests,Wuppertal,Schwelm,KPI 5,Count unfurnished,3
25.10.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 1,Average price,346.42857142857144
25.10.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 2,Average size,13.5
25.10.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 3,Average €/qm,32.083333333333336
25.10.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 4,Count furnished,4
25.10.2020 12:8,requests,Wuppertal,Vohwinkel,KPI 5,Count unfurnished,3
25.10.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 1,Average price,nan
25.10.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 2,Average size,10.0
25.10.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 3,Average €/qm,nan
25.10.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 4,Count furnished,1
25.10.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 5,Count unfurnished,0
25.10.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 1,Average price,450.0
25.10.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 2,Average size,13.0
25.10.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 3,Average €/qm,34.615384615384606
25.10.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 4,Count furnished,0
25.10.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 5,Count unfurnished,1
25.11.2020 12:8,requests,Essen,Burgaltendorf,KPI 1,Average price,361.75
25.11.2020 12:8,requests,Essen,Burgaltendorf,KPI 2,Average size,13.454545454545455
25.11.2020 12:8,requests,Essen,Burgaltendorf,KPI 3,Average €/qm,28.61363636363637
25.11.2020 12:8,requests,Essen,Burgaltendorf,KPI 4,Count furnished,6
25.11.2020 12:8,requests,Essen,Burgaltendorf,KPI 5,Count unfurnished,15
25.11.2020 12:8,requests,Essen,Frohnhausen,KPI 1,Average price,369.4
25.11.2020 12:8,requests,Essen,Frohnhausen,KPI 2,Average size,13.6
25.11.2020 12:8,requests,Essen,Frohnhausen,KPI 3,Average €/qm,29.16633986928105
25.11.2020 12:8,requests,Essen,Frohnhausen,KPI 4,Count furnished,9
25.11.2020 12:8,requests,Essen,Frohnhausen,KPI 5,Count unfurnished,17
25.11.2020 12:8,requests,Essen,Rüttenscheid,KPI 1,Average price,387.0
25.11.2020 12:8,requests,Essen,Rüttenscheid,KPI 2,Average size,13.5
25.11.2020 12:8,requests,Essen,Rüttenscheid,KPI 3,Average €/qm,31.130602240896366
25.11.2020 12:8,requests,Essen,Rüttenscheid,KPI 4,Count furnished,9
